source,target,value
Jon,Tyrion,9
Daenerys,Jon,6
Doran,Tommen,3
Doran,Tyrion,3
Tyrion,Varys,16
Illyrio,Varys,5
Illyrio,Tyrion,162
Cersei,Tyrion,7
Cersei,Jaime,48
Joffrey,Tyrion,23
Jaime,Tyrion,17
Illyrio,Jaime,12
Stannis,Tyrion,13
Illyrio,Stannis,2
Stannis,Tommen,36
Daenerys,Missandei,8
Barristan,Missandei,45
Jon,Mormont,54
Jon,Stannis,311
Mance,Stannis,16
Jon,Mance,49
Jon,Maester,61
Jon,Theon,20
Mormont,Stannis,15
Jon,Ygritte,96
Bowen,Jon,221
Maester,Stannis,4
Sam,Stannis,32
Stannis,Ygritte,13
Lyanna,Stannis,12
Rickard,Robb,5
Jon,Robb,22
Jon,Rickard,10
Gilly,Melisandre,6
Gilly,Stannis,8
Jon,Sam,62
Alliser,Sam,4
Melisandre,Stannis,59
Jon,Melisandre,106
Jon,Tormund,178
Hodor,Jon,6
Meera,Sam,9
Jojen,Meera,109
Bran,Hodor,37
Bran,Jojen,14
Bran,Meera,41
Hodor,Meera,92
Hodor,Jojen,24
Jojen,Sam,1
Bran,Tyrion,4
Dothraki,Khal,24
Dothraki,Viserys,6
Daenerys,Illyrio,5
Jaime,Varys,5
Daenerys,Varys,6
Barristan,Daenerys,44
Dothraki,Illyrio,15
Daenerys,Dothraki,26
Barristan,Tyrion,15
Dothraki,Tyrion,6
Barristan,Jaime,13
Gilly,Jon,56
Gilly,Sam,46
Mormont,Sam,13
Sam,Tommen,10
Jon,Tommen,7
Janos,Jon,59
Janos,Stannis,10
Maester,Sam,45
Gilly,Maester,14
Alliser,Janos,22
Alliser,Jon,27
Alliser,Bowen,5
Bowen,Janos,11
Tyrion,Tywin,11
Illyrio,Joffrey,2
Captain,Tyrion,4
Captain,Davos,4
Davos,Stannis,119
Davos,Lysa,5
Davos,Walder,5
Davos,Jon,5
Stannis,Tormund,5
Mance,Ygritte,4
Sam,Ygritte,10
Gilly,Ygritte,6
Bowen,Stannis,24
Bowen,Othell,32
Tommen,Tyrion,8
Missandei,Viserys,8
Barristan,Daario,49
Hizdahr,Missandei,19
Joffrey,Sandor,11
Joffrey,Robert,14
Robert,Viserys,17
Joffrey,Viserys,4
Janos,Joffrey,7
Joffrey,Varys,4
Robert,Varys,6
Ramsay,Roose,97
Arya,Sansa,9
Bran,Ramsay,3
Arya,Hodor,11
Arya,Jojen,5
Bronn,Tyrion,10
Illyrio,Viserys,5
Roose,Stannis,58
Davos,Tommen,4
Balon,Davos,2
Balon,Sandor,6
Robett,Sandor,4
Dothraki,Stannis,1
Daenerys,Davos,5
Daenerys,Hizdahr,80
Daario,Dothraki,17
Daenerys,Jorah,7
Barristan,Dothraki,30
Dothraki,Missandei,22
Jon,Ramsay,32
Cersei,Robert,31
Jon,Robert,21
Robert,Stannis,57
Jon,Roose,5
Balon,Stannis,5
Balon,Jon,2
Davos,Robb,10
Davos,Robert,2
Davos,Joffrey,6
Davos,Melisandre,11
Robb,Stannis,11
Roose,Walder,16
Stannis,Walder,3
Arya,Ramsay,26
Balon,Robert,18
Ramsay,Rickard,2
Ramsay,Walder,22
Roose,Theon,31
Robb,Theon,6
Ramsay,Robb,2
Bowen,Maester,4
Arya,Jon,46
Robert,Tyrion,1
Daenerys,Viserys,6
Jaime,Kevan,24
Kevan,Mace,48
Mace,Stannis,24
Thoros,Tyrion,6
Robert,Thoros,6
Barristan,Hizdahr,222
Daario,Hizdahr,111
Daario,Missandei,23
Daario,Tyrion,2
Daenerys,Tyrion,22
Illyrio,Khal,6
Illyrio,Robert,5
Illyrio,Mace,3
Ramsay,Stannis,45
Balon,Euron,9
Aeron,Euron,14
Mormont,Tyrion,39
Jorah,Tyrion,39
Shae,Tyrion,10
Cersei,Daenerys,5
Cersei,Joffrey,11
Cersei,Jorah,5
Alliser,Mormont,5
Benjen,Jon,26
Jon,Rodrik,4
Arya,Mormont,2
Melisandre,Ygritte,9
Davos,Robett,28
Arya,Roose,22
Roose,Tywin,1
Davos,Tywin,2
Robett,Stannis,15
Davos,Theon,5
Davos,Ramsay,3
Ramsay,Robett,3
Robb,Roose,3
Davos,Roose,7
Davos,Rodrik,2
Ned,Roose,11
Ned,Stannis,7
Barristan,Khal,7
Hizdahr,Melisandre,5
Bowen,Melisandre,7
Melisandre,Tormund,4
Arya,Melisandre,2
Rickard,Roose,16
Rickard,Stannis,4
Ned,Ramsay,3
Ramsay,Walda,3
Brynden,Meera,5
Leaf,Meera,18
Brynden,Hodor,13
Brynden,Robb,3
Arya,Robb,9
Jon,Sansa,6
Bran,Brynden,15
Jojen,Sansa,8
Jojen,Leaf,6
Jon,Meera,2
Brynden,Leaf,6
Bran,Leaf,3
Arya,Bran,16
Bowen,Ygritte,5
Jon,Othell,30
Arya,Stannis,16
Barristan,Jon,1
Hizdahr,Khal,17
Arya,Theon,18
Ramsay,Theon,77
Walda,Walder,6
Stannis,Walda,4
Stannis,Theon,27
Doran,Ellaria,6
Areo,Ellaria,22
Areo,Balon,6
Areo,Obara,22
Balon,Tyene,14
Balon,Obara,23
Areo,Doran,6
Nymeria,Obara,25
Nymeria,Tyene,16
Obara,Tyene,22
Balon,Doran,10
Tommen,Trystane,9
Ellaria,Trystane,4
Obara,Trystane,11
Cersei,Tyene,2
Ellaria,Obara,8
Ellaria,Robert,2
Amory,Robert,6
