source,target,value
Maester,Mormont,17
Jon,Robb,91
Bran,Robb,42
Jon,Theon,26
Bran,Jon,53
Catelyn,Jon,51
Catelyn,Ned,416
Ned,Sansa,85
Bran,Ned,18
Bran,Catelyn,50
Catelyn,Maester,123
Ned,Robert,1081
Jon,Robert,78
Brynden,Catelyn,118
Brynden,Ned,19
Lysa,Ned,30
Catelyn,Lysa,209
Catelyn,Robert,96
Maester,Ned,67
Illyrio,Viserys,47
Illyrio,Khal,48
Daenerys,Viserys,8
Daenerys,Illyrio,18
Dothraki,Illyrio,75
Dothraki,Viserys,60
Daenerys,Khal,11
Illyrio,Jorah,13
Daenerys,Jorah,10
Khal,Viserys,68
Dothraki,Khal,124
Jaime,Ned,86
Jaime,Sandor,38
Ned,Sandor,33
Ned,Theon,14
Robert,Theon,4
Cersei,Robert,113
Cersei,Ned,112
Jaime,Robert,83
Lyanna,Ned,83
Lyanna,Robert,58
Jon,Ned,85
Lysa,Robert,39
Benjen,Ned,12
Benjen,Robert,11
Joffrey,Tommen,26
Joffrey,Jon,21
Jaime,Joffrey,52
Jaime,Jon,15
Jon,Tyrion,185
Cersei,Tyrion,30
Cersei,Jon,7
Benjen,Jon,114
Benjen,Theon,11
Jon,Maester,202
Benjen,Maester,15
Arya,Robb,5
Arya,Sansa,420
Jon,Sansa,19
Catelyn,Tyrion,183
Joffrey,Ned,58
Catelyn,Joffrey,11
Arya,Joffrey,138
Arya,Catelyn,21
Arya,Ned,149
Ned,Rodrik,31
Robb,Rodrik,13
Robb,Robert,2
Arya,Jon,144
Joffrey,Sansa,397
Arya,Nymeria,158
Jon,Nymeria,32
Robb,Theon,40
Arya,Tommen,10
Jon,Tommen,2
Joffrey,Rodrik,17
Rodrik,Theon,12
Joffrey,Theon,4
Arya,Rodrik,7
Jon,Rodrik,4
Jaime,Meryn,5
Jaime,Robb,12
Barristan,Robb,5
Barristan,Bran,6
Bran,Hodor,19
Arya,Bran,19
Bran,Maester,72
Robert,Stannis,79
Joffrey,Tyrion,19
Joffrey,Sandor,38
Sandor,Tyrion,5
Cersei,Sandor,7
Jaime,Tyrion,114
Jaime,Tommen,10
Cersei,Tommen,9
Tommen,Tyrion,6
Cersei,Jaime,21
Robert,Tyrion,56
Jorah,Khal,16
Mormont,Viserys,21
Illyrio,Mormont,2
Daenerys,Dothraki,28
Meryn,Robert,8
Meryn,Ned,6
Jorah,Lysa,5
Jorah,Ned,6
Daenerys,Robert,11
Dothraki,Ned,31
Dothraki,Robert,14
Dothraki,Jon,9
Ned,Stannis,103
Benjen,Tyrion,37
Benjen,Yoren,26
Jon,Yoren,43
Tyrion,Yoren,26
Dothraki,Tyrion,4
Ned,Tyrion,6
Catelyn,Robb,57
Maester,Robb,44
Catelyn,Rodrik,154
Maester,Theon,59
Lysa,Maester,2
Catelyn,Jaime,50
Catelyn,Theon,70
Maester,Rodrik,9
Nymeria,Sansa,37
Sandor,Sansa,58
Barristan,Robert,46
Barristan,Sansa,5
Jaime,Sansa,32
Joffrey,Nymeria,23
Arya,Robert,18
Cersei,Joffrey,54
Barristan,Jaime,13
Arya,Cersei,5
Robert,Sansa,49
Cersei,Sansa,27
Ned,Nymeria,3
Hodor,Robb,11
Arya,Dothraki,1
Robert,Varys,18
Lysa,Stannis,20
Lysa,Varys,6
Maester,Varys,10
Bran,Varys,9
Catelyn,Varys,27
Jaime,Loras,14
Alliser,Jon,142
Benjen,Mormont,11
Alliser,Benjen,8
Mormont,Tyrion,45
Alliser,Mormont,25
Alliser,Bowen,16
Bowen,Jon,34
Alliser,Tyrion,25
Alliser,Bran,2
Bran,Tyrion,4
Jeor,Jon,4
Jeor,Mormont,3
Jon,Mormont,138
Mormont,Robb,7
Robb,Tyrion,4
Grand,Jon,2
Grand,Ned,56
Ned,Varys,115
Barristan,Ned,60
Grand,Robert,43
Grand,Maester,6
Jon,Varys,3
Lyanna,Sansa,6
Ilyn,Ned,1
Ilyn,Robert,5
Bowen,Tyrion,4
Bowen,Mormont,12
Bowen,Maester,16
Maester,Tyrion,26
Bran,Sansa,23
Arya,Lyanna,9
Arya,Syrio,120
Dothraki,Syrio,4
Dothraki,Jorah,16
Jorah,Viserys,25
Dothraki,Mormont,16
Hodor,Rickard,6
Hodor,Maester,32
Hodor,Theon,13
Hodor,Walder,6
Maester,Walder,2
Robb,Yoren,10
Alliser,Robb,5
Benjen,Robb,6
Bran,Yoren,7
Theon,Yoren,2
Maester,Yoren,6
Ned,Syrio,19
Jon,Sam,305
Arya,Benjen,5
Benjen,Sam,5
Jon,Mace,5
Mace,Randyll,5
Randyll,Sam,13
Dickon,Sam,1
Maester,Sam,32
Alliser,Sam,40
Catelyn,Sam,5
Janos,Ned,19
Grand,Stannis,2
Jon,Stannis,18
Margaery,Ned,5
Lyanna,Margaery,6
Gendry,Ned,21
Catelyn,Yoren,16
Tyrion,Walder,7
Jaime,Yohn,4
Thoros,Yohn,2
Sansa,Thoros,5
Barristan,Sandor,5
Rodrik,Sansa,6
Jaime,Thoros,9
Loras,Mace,11
Mace,Sansa,4
Loras,Sansa,34
Lancel,Robert,7
Lancel,Ned,4
Cersei,Lyanna,5
Jon,Lyanna,11
Cersei,Viserys,10
Bran,Robert,5
Hodor,Robert,6
Loras,Ned,14
Loras,Sandor,5
Robert,Sandor,6
Ned,Thoros,4
Arya,Barristan,4
